pedigree_id1,pedigree_id2,Y,A,Genetic_Covariance
9..9_0.9_0,9..9_56.9_28,-0.03546295677555566,-0.03546295677555566,0.16743159515326725
9..9_0.9_0,9..9_57.9_28,-0.04240509982718262,-0.04240509982718262,0.017189712812934528
9..9_0.9_0,9..9_58.9_29,0.032735832081677047,0.032735832081677047,-0.04822276257925005
9..9_0.9_0,9..9_59.9_29,0.032735832081677047,0.032735832081677047,-0.04822276257925005
9..9_0.9_0,9..9_60.9_30,-0.03161573754503889,-0.03161573754503889,0.49487767584628434
9..9_0.9_0,9..9_61.9_30,-0.03161573754503889,-0.03161573754503889,0.49487767584628434
9..9_0.9_0,9..9_62.9_31,0.007359397976901987,0.007359397976901987,0.012479605703417463
9..9_0.9_0,9..9_63.9_31,-0.041419764248768115,-0.041419764248768115,0.027502536835530705
9..9_0.9_0,9..9_64.9_32,0.0526584645872663,0.0526584645872663,-0.13891736096668492
9..9_0.9_0,9..9_65.9_32,0.0526584645872663,0.0526584645872663,-0.13891736096668492
9..9_0.9_0,9..9_66.9_33,-0.025162522987267066,-0.025162522987267066,0.024059007087670153
9..9_0.9_0,9..9_67.9_33,-0.025162522987267066,-0.025162522987267066,0.024059007087670153
9..9_0.9_0,9..9_68.9_34,0.05354351598770164,0.05354351598770164,0.00399816583505699
9..9_0.9_0,9..9_69.9_34,0.034790225428909735,0.034790225428909735,0.005744866790138248
9..9_0.9_0,9..9_70.9_35,0.030371181729677843,0.030371181729677843,-0.042266912130233515
9..9_0.9_0,9..9_71.9_35,0.030371181729677843,0.030371181729677843,-0.042266912130233515
9..9_0.9_0,9..9_72.9_36,0.06130464914558954,0.06130464914558954,-0.025706424432071055
9..9_0.9_0,9..9_73.9_36,0.012626319874745712,0.012626319874745712,-0.04301196761798073
9..9_0.9_0,9..9_74.9_37,0.02781859696003248,0.02781859696003248,0.07435962889086178
9..9_0.9_0,9..9_75.9_37,-0.006492114630387377,-0.006492114630387377,-0.17986854324321247
9..9_0.9_0,9..9_76.9_38,0.031208665073171417,0.031208665073171417,0.029548753604615226
9..9_0.9_0,9..9_77.9_38,-0.005809047031649248,-0.005809047031649248,-0.13068336035335162
9..9_0.9_0,9..9_78.9_39,-0.04624764547022713,-0.04624764547022713,0.002410845723883081
9..9_0.9_0,9..9_79.9_39,0.0812249198863843,0.0812249198863843,-0.044908367318900355
9..9_0.9_0,9..9_80.9_40,0.04377912331464357,0.04377912331464357,-0.01395747219369674
9..9_0.9_0,9..9_81.9_40,0.04377912331464357,0.04377912331464357,-0.01395747219369674
9..9_0.9_0,9..9_82.9_41,-0.022560204247137755,-0.022560204247137755,-0.11188975738072662
9..9_0.9_0,9..9_83.9_41,-0.04252218835079929,-0.04252218835079929,-0.10846461426109125
9..9_0.9_0,9..9_84.9_42,0.051506586264042774,0.051506586264042774,-0.04065721030533405
9..9_0.9_0,9..9_85.9_42,0.012051841189263906,0.012051841189263906,0.043461981671218966
9..9_0.9_0,9..9_86.9_43,0.009839809381788018,0.009839809381788018,-0.08422571424824415
9..9_0.9_0,9..9_87.9_43,-0.009081243313892236,-0.009081243313892236,-0.09287268291586233
9..9_0.9_0,9..9_88.9_44,-0.01671435044240863,-0.01671435044240863,-0.034401470294361046
9..9_0.9_0,9..9_89.9_44,-0.01671435044240863,-0.01671435044240863,-0.034401470294361046
9..9_0.9_0,9..9_90.9_45,-0.05819060581101228,-0.05819060581101228,-0.047981761085156956
9..9_0.9_0,9..9_91.9_45,-0.09661176720589208,-0.09661176720589208,-0.12758411692258798
9..9_0.9_0,9..9_92.9_46,-0.05533552513298555,-0.05533552513298555,-0.022306616712383924
9..9_0.9_0,9..9_93.9_46,-0.05533552513298555,-0.05533552513298555,-0.022306616712383924
9..9_0.9_0,9..9_94.9_47,-0.0022695560560072586,-0.0022695560560072586,0.06922200344605738
9..9_0.9_0,9..9_95.9_47,0.030680041902685477,0.030680041902685477,-0.04739168143086125
9..9_0.9_0,9..9_96.9_48,-0.03203108945991437,-0.03203108945991437,-0.10195439991317322
9..9_0.9_0,9..9_97.9_48,0.04307097303319486,0.04307097303319486,0.4863689165362378
9..9_0.9_0,9..9_98.9_49,-0.03975855240931355,-0.03975855240931355,-0.07525466053181869
9..9_0.9_0,9..9_99.9_49,0.04049054279687715,0.04049054279687715,-0.11010779077024022
9..9_1.9_0,9..9_1.9_0,0.00203885643086485,0.00203885643086485,0.9458977065548769
9..9_1.9_0,9..9_2.9_1,-0.029994900787656164,-0.029994900787656164,-0.21295601317198964
9..9_1.9_0,9..9_3.9_1,0.014650151951481246,0.014650151951481246,-0.06880333857918793
9..9_1.9_0,9..9_4.9_2,-0.02624845032236509,-0.02624845032236509,-0.02810418673016749
9..9_1.9_0,9..9_5.9_2,0.02467086436171043,0.02467086436171043,0.07358574558948353
9..9_1.9_0,9..9_6.9_3,0.01906287443075599,0.01906287443075599,0.0038737809991914213
9..9_1.9_0,9..9_7.9_3,0.018552980657622366,0.018552980657622366,-0.03603890463033066
9..9_1.9_0,9..9_8.9_4,0.1089816687329342,0.1089816687329342,-0.02863817585854462
9..9_1.9_0,9..9_9.9_4,0.03792508001967122,0.03792508001967122,-0.014026995289655094
9..9_1.9_0,9..9_10.9_5,0.025815230229003977,0.025815230229003977,0.002880289384109707
9..9_1.9_0,9..9_11.9_5,-0.038137138222778255,-0.038137138222778255,-0.10397825734973834
9..9_1.9_0,9..9_12.9_6,-0.044373888327083985,-0.044373888327083985,-0.13172881590951815
9..9_1.9_0,9..9_13.9_6,0.03077166067101277,0.03077166067101277,-0.034648086247034464
9..9_1.9_0,9..9_14.9_7,-2.0532757047207382e-05,-2.0532757047207382e-05,-0.11650136526580561
9..9_1.9_0,9..9_15.9_7,-2.0532757047207382e-05,-2.0532757047207382e-05,-0.11650136526580561
9..9_1.9_0,9..9_16.9_8,0.031208665073171417,0.031208665073171417,0.029548753604615226
9..9_1.9_0,9..9_17.9_8,-0.04616244731127296,-0.04616244731127296,-0.07657914991875503
