pedigree_id1,pedigree_id2,Y,A,Genetic_Covariance
3..3_0.3_0,3..3_34.3_17,0.7989347086856521,1.1087288777538393,-0.06421303582675392
3..3_0.3_0,3..3_35.3_17,0.7989067177205321,1.1087288777538393,-0.06421303582675392
3..3_0.3_0,3..3_36.3_18,0.4359652722789015,1.2682314013911298,0.05812326674579024
3..3_0.3_0,3..3_37.3_18,0.8960157503917203,0.5110682735508919,0.042093981391899904
3..3_0.3_0,3..3_38.3_19,-0.4362219507813084,-0.44554209172485654,-0.009919721802469073
3..3_0.3_0,3..3_39.3_19,0.1886563841699542,-0.06443971234878838,-0.037222494944783906
3..3_0.3_0,3..3_40.3_20,-0.1411121046942813,-0.14724887329924827,-0.06081265739090093
3..3_0.3_0,3..3_41.3_20,-0.6223910415048305,-0.39577660154183103,0.019086285539751092
3..3_0.3_0,3..3_42.3_21,-0.723608061589112,-0.8038256075468097,-0.10431109744369856
3..3_0.3_0,3..3_43.3_21,-0.4832901634445331,-0.8423230573531256,-0.07886504084429383
3..3_0.3_0,3..3_44.3_22,-0.7445997851986065,-0.9509900698279155,-0.0367902687981871
3..3_0.3_0,3..3_45.3_22,-0.7782672618346258,-1.6718920754852065,-0.08825208765400293
3..3_0.3_0,3..3_46.3_23,-0.03725775921730258,-0.2889757260002688,-0.013829488022072794
3..3_0.3_0,3..3_47.3_23,0.044592704672123465,-0.2889757260002688,-0.013829488022072794
3..3_0.3_0,3..3_48.3_24,-0.11997425349968831,0.48996192545768075,0.02793262868358828
3..3_0.3_0,3..3_49.3_24,0.08512755571660006,0.48996192545768075,0.02793262868358828
3..3_0.3_0,3..3_50.3_25,-0.2866383206981927,0.012240966663096648,-0.0005007692360177921
3..3_0.3_0,3..3_51.3_25,0.6778347949956397,0.012240966663096648,-0.0005007692360177921
3..3_0.3_0,3..3_52.3_26,-0.2188972197853285,-0.21796102450952673,-0.04751161432286659
3..3_0.3_0,3..3_53.3_26,0.10201139784371797,-0.24965040260203772,-0.016458248160509767
3..3_0.3_0,3..3_54.3_27,0.0937393795654134,0.12556623753938853,0.039019767100669164
3..3_0.3_0,3..3_55.3_27,-0.13907045292346135,0.12556623753938853,0.039019767100669164
3..3_0.3_0,3..3_56.3_28,-0.3130539722351034,-0.3645363712171541,0.032579686868424856
3..3_0.3_0,3..3_57.3_28,-0.20431084679838238,-0.3645363712171541,0.032579686868424856
3..3_0.3_0,3..3_58.3_29,0.2505657031105406,0.5485897091108938,-0.050642525818907366
3..3_0.3_0,3..3_59.3_29,0.16451529493266814,0.07099715364602244,-0.0022878352224162584
3..3_0.3_0,3..3_60.3_30,-0.16025003996777087,-0.3330119264470132,-0.0418766713038482
3..3_0.3_0,3..3_61.3_30,-0.04421513680527204,-0.3330119264470132,-0.0418766713038482
3..3_0.3_0,3..3_62.3_31,0.05927584507597264,-0.2337739982591603,-0.04073265305316377
3..3_0.3_0,3..3_63.3_31,0.5753374080959278,0.06205037164216198,-0.0636021968189828
3..3_0.3_0,3..3_64.3_32,-0.6885677283738413,-1.1412064542806175,0.16655554819433255
3..3_0.3_0,3..3_65.3_32,0.7434848618317036,0.9758474426569642,-0.03590885965801756
3..3_0.3_0,3..3_66.3_33,-0.03547533325149131,0.7577647278072683,0.0034957167439206072
3..3_0.3_0,3..3_67.3_33,-0.6873958027018592,-0.6797574469826443,-0.042598162524565365
3..3_0.3_0,3..3_68.3_34,0.2376044228857184,-0.059557432963840896,0.014396337502459096
3..3_0.3_0,3..3_69.3_34,-0.14305549424556424,0.40245335658365444,0.003998896817060236
3..3_0.3_0,3..3_70.3_35,-0.07316691152226028,-0.449483129975793,0.04735915455770065
3..3_0.3_0,3..3_71.3_35,0.2592665935930605,-0.449483129975793,0.04735915455770065
3..3_0.3_0,3..3_72.3_36,-0.06559756244878448,-0.32577386231612165,-0.06956161495098327
3..3_0.3_0,3..3_73.3_36,0.02738148659140767,0.15785933991457807,-0.0502718214347401
3..3_0.3_0,3..3_74.3_37,-0.1278757807813663,-0.18462915082062242,0.013755651911692587
3..3_0.3_0,3..3_75.3_37,-0.05727063258868762,-0.18462915082062242,0.013755651911692587
3..3_0.3_0,3..3_76.3_38,0.0036894616082162606,-0.45560583292312995,-0.08348577187199015
3..3_0.3_0,3..3_77.3_38,0.09632404460490121,-0.30481515113724816,-0.030442136536184602
3..3_0.3_0,3..3_78.3_39,0.7351486064698248,1.1850416038255012,0.05491059930046971
3..3_0.3_0,3..3_79.3_39,0.48962236865014175,0.3273703012090597,-0.04674703709813272
3..3_0.3_0,3..3_80.3_40,-0.5161168616632865,-1.61557580982111,-0.033122304975787956
3..3_0.3_0,3..3_81.3_40,-0.25926188647933135,0.05406492647941299,-0.02854316172982081
3..3_0.3_0,3..3_82.3_41,0.023654365922888512,-0.0005315973271174894,-0.06375153845358808
3..3_0.3_0,3..3_83.3_41,-0.1724285782378076,-0.30064983485008323,-0.002551618198678369
3..3_0.3_0,3..3_84.3_42,-0.3273370224922431,0.22604058969829036,0.042897607298468046
3..3_0.3_0,3..3_85.3_42,0.014218433156349054,-0.7354331584676993,-0.03358471308890326
3..3_0.3_0,3..3_86.3_43,-0.12886463125157221,0.06917841895228144,-0.039443973415024015
3..3_0.3_0,3..3_87.3_43,-0.1552912868420663,-0.5915215203221447,-0.08635814288639508
3..3_0.3_0,3..3_88.3_44,0.10771310714510884,0.39157103431468526,-0.04304786502721161
3..3_0.3_0,3..3_89.3_44,0.626909662248235,0.5458623345648635,-0.09808662012055491
3..3_0.3_0,3..3_90.3_45,0.5516890985869006,1.0878265103901152,-0.03155027236224788
3..3_0.3_0,3..3_91.3_45,0.5319812236009369,1.6427556028501469,-0.0563921275286507
3..3_0.3_0,3..3_92.3_46,-0.24296455891787022,-0.23809752237385473,0.020531288406183918
3..3_0.3_0,3..3_93.3_46,-0.14554535031451954,0.27438125173838646,-0.044104404539232575
3..3_0.3_0,3..3_94.3_47,0.038952144668961304,-0.3342093970612373,-0.03607377320717665
3..3_0.3_0,3..3_95.3_47,-0.14307329948552805,-0.2483862963480573,0.013450354265938923
3..3_0.3_0,3..3_96.3_48,0.41348613033588905,1.4926089120543444,-0.005534312053895678
3..3_0.3_0,3..3_97.3_48,0.5519272555730734,1.4926089120543444,-0.005534312053895678
3..3_0.3_0,3..3_98.3_49,0.18744506022671728,-0.9617735503752587,0.20164902147697453
3..3_0.3_0,3..3_99.3_49,0.5950213106984183,0.9387860808999076,0.0035887374211640054
3..3_1.3_0,3..3_1.3_0,0.9764733778646546,0.39854342052636993,1.0258710192814195
3..3_1.3_0,3..3_2.3_1,-0.5521080463645773,-0.16825186003336515,0.05485337331328725
3..3_1.3_0,3..3_3.3_1,-1.3278143007233725,-0.5675343901255182,0.07386590246537483
3..3_1.3_0,3..3_4.3_2,-1.055463411159967,-0.690001041999094,0.01114754270299762
3..3_1.3_0,3..3_5.3_2,-1.7218125656823338,-0.9587026907789413,0.018015899964138257
3..3_1.3_0,3..3_6.3_3,1.3501162896895944,0.8616995513106748,-0.005259648515242915
3..3_1.3_0,3..3_7.3_3,-0.36456289983024626,-0.10325862102674684,0.01128728465243507
3..3_1.3_0,3..3_8.3_4,1.3003025831136767,0.21087454142254725,0.08102735980377943
3..3_1.3_0,3..3_9.3_4,0.8723976370296621,0.4607913001899706,0.04303909609951257
3..3_1.3_0,3..3_10.3_5,0.8757383265794924,1.3167962643186084,-0.04792435063436114
3..3_1.3_0,3..3_11.3_5,1.471404827825695,1.3167962643186084,-0.04792435063436114
3..3_1.3_0,3..3_12.3_6,0.7028549874433532,0.2755306536571294,-0.0019981669910136245
3..3_1.3_0,3..3_13.3_6,0.054294813193667614,-0.5093763744819287,-0.049814406352340204
3..3_1.3_0,3..3_14.3_7,-1.0343162009106626,-0.5826519056773397,-0.032006948460905335
3..3_1.3_0,3..3_15.3_7,-0.022724708314240373,-0.8513535544571871,-0.025138590863959656
3..3_1.3_0,3..3_16.3_8,-0.433607381215525,0.1540184902369121,-0.015727924028093476
3..3_1.3_0,3..3_17.3_8,0.7647554010062821,0.7421708216721968,0.01662338539470524
3..3_1.3_0,3..3_18.3_9,-1.8922779050934833,-0.5294050935805311,0.011477567199098525
3..3_1.3_0,3..3_19.3_9,-0.523432085588257,-0.5294050935805311,0.011477567199098525
3..3_1.3_0,3..3_20.3_10,-0.9414868084461787,-0.4539879558082307,-0.042854156063663745
3..3_1.3_0,3..3_21.3_10,-1.0686353156120627,-0.28449948210865655,-0.02370854285561976
3..3_1.3_0,3..3_22.3_11,0.2635062764727873,-0.2632412500118933,-0.025571144742642403
3..3_1.3_0,3..3_23.3_11,-1.5730433897176628,-0.2632412500118933,-0.025571144742642403
3..3_1.3_0,3..3_24.3_12,-0.06811317967247743,0.5665762751119515,-0.06178913502031682
3..3_1.3_0,3..3_25.3_12,1.4706291839695167,0.19181208436773542,-0.00987130676040738
3..3_1.3_0,3..3_26.3_13,0.04304207256212214,0.520567397682691,-0.003143853338320109
3..3_1.3_0,3..3_27.3_13,0.22178714886529377,0.6278920488599044,0.027621380181457874
3..3_1.3_0,3..3_28.3_14,-1.1990357238039289,-0.38563532186095184,-0.0023298839221785874
3..3_1.3_0,3..3_29.3_14,-0.627379110838804,-0.38563532186095184,-0.0023298839221785874
3..3_1.3_0,3..3_30.3_15,0.3010469535941382,-0.07262564378835507,-0.03490514982867877
3..3_1.3_0,3..3_31.3_15,-0.12294220030449637,-0.07262564378835507,-0.03490514982867877
3..3_1.3_0,3..3_32.3_16,-1.152918254759003,-0.813772435970359,0.015427632949571647
3..3_1.3_0,3..3_33.3_16,-0.23844278914229977,-0.23831643261612237,0.006059424740976094
3..3_1.3_0,3..3_34.3_17,1.9534666293887624,1.037724538035683,-0.02728758237772807
3..3_1.3_0,3..3_35.3_17,1.9533981889821914,1.037724538035683,-0.02728758237772807
3..3_1.3_0,3..3_36.3_18,1.0659739797389458,1.187012326942523,-0.062479035137325944
3..3_1.3_0,3..3_37.3_18,2.1908384361927156,0.47833884253986353,0.0014505398455935243
3..3_1.3_0,3..3_38.3_19,-1.0666015815735914,-0.41700903673339684,-0.00513854318631152
3..3_1.3_0,3..3_39.3_19,0.46128168784084567,-0.06031291514997897,-0.0036018978207464007
3..3_1.3_0,3..3_40.3_20,-0.3450316834733385,-0.13781887717247931,-0.00921580066353364
3..3_1.3_0,3..3_41.3_20,-1.5218016150661164,-0.3704305887949593,-0.043603025970654956
3..3_1.3_0,3..3_42.3_21,-1.7692862579427502,-0.7523476424125065,-0.007264795793644846
